Year,Total_p,T_Male,T_Female,Japan_p,J_Male,J_Female
1950-10-01,83200,40812,42388,82672,40514,42158
1951-10-01,84541,41489,43052,83997,41184,42814
1952-10-01,85808,42128,43680,85247,41815,43432
1953-10-01,86981,42721,44260,86406,42402,44004
1954-10-01,88239,43344,44895,87652,43020,44632
1955-10-01,89276,43861,45415,88678,43533,45145
1956-10-01,90172,44301,45871,89573,43974,45599
1957-10-01,90928,44671,46258,90327,44342,45985
1958-10-01,91767,45078,46689,91162,44749,46413
1959-10-01,92641,45504,47137,92033,45174,46858
1960-10-01,93419,45878,47541,92841,45566,47275
1961-10-01,94287,46300,47987,93724,45998,47727
1962-10-01,95181,46733,48447,94613,46430,48183
1963-10-01,96156,47208,48947,95580,46901,48679
1964-10-01,97182,47710,49471,96597,47399,49199
1965-10-01,98275,48244,50031,97681,47928,49753
1966-10-01,99036,48611,50425,98443,48297,50147
1967-10-01,100196,49180,51016,99603,48866,50737
1968-10-01,101331,49739,51592,100737,49425,51312
1969-10-01,102536,50334,52202,101938,50018,51920
1970-10-01,103720,50918,52802,103119,50601,52519
1971-10-01,105145,51607,53538,104539,51288,53251
1972-10-01,107595,52822,54773,106971,52493,54478
1973-10-01,109104,53606,55498,108478,53277,55201
1974-10-01,110573,54376,56197,109940,54045,55895
1975-10-01,111940,55091,56849,111297,54755,56542
1976-10-01,113094,55658,57436,112447,55321,57126
1977-10-01,114165,56184,57981,113514,55847,57667
1978-10-01,115190,56682,58508,114534,56343,58191
1979-10-01,116155,57151,59004,115496,56812,58684
1980-10-01,117060,57594,59467,116391,57250,59142
1981-10-01,117902,58001,59901,117222,57653,59569
1982-10-01,118728,58400,60329,118043,58051,59992
1983-10-01,119536,58786,60750,118839,58433,60407
1984-10-01,120305,59150,61155,119593,58790,60803
1985-10-01,121049,59497,61552,120328,59133,61196
1986-10-01,121660,59788,61871,120919,59417,61502
1987-10-01,122239,60058,62181,121482,59682,61800
1988-10-01,122745,60302,62443,121947,59902,62046
1989-10-01,123205,60515,62690,122356,60088,62268
1990-10-01,123611,60697,62914,122721,60249,62472
1991-10-01,124101,60934,63167,123123,60438,62685
1992-10-01,124567,61155,63413,123516,60621,62894
1993-10-01,124938,61317,63621,123847,60767,63080
1994-10-01,125265,61446,63819,124149,60889,63260
1995-10-01,125570,61574,63996,124428,61007,63422
1996-10-01,125859,61698,64161,124708,61130,63578
1997-10-01,126157,61827,64329,124961,61240,63721
1998-10-01,126472,61952,64520,125248,61357,63891
1999-10-01,126667,62017,64650,125427,61419,64008
2000-10-01,126926,62111,64815,125613,61488,64125
2001-10-01,127316,62265,65051,125930,61615,64316
2002-10-01,127486,62295,65190,126053,61629,64424
2003-10-01,127694,62368,65326,126206,61677,64529
2004-10-01,127787,62380,65407,126266,61674,64592
2005-10-01,127768,62349,65419,126205,61618,64587
2006-10-01,127901,62387,65514,126286,61630,64656
2007-10-01,128033,62424,65608,126347,61635,64712
2008-10-01,128084,62422,65662,126340,61609,64730
2009-10-01,128032,62358,65674,126343,61586,64757
2010-10-01,128057,62328,65730,126382,61572,64810
2011-10-01,127834,62207,65627,126210,61477,64732
2012-10-01,127593,62080,65513,126023,61379,64644
2013-10-01,127414,61985,65429,125803,61263,64540
2014-10-01,127237,61901,65336,125562,61142,64419
2015-10-01,127095,61842,65253,125319,61023,64297
2016-10-01,126933,61766,65167,125020,60867,64153
2017-10-01,126706,61655,65051,124648,60676,63973
2018-10-01,126443,61532,64911,124218,60455,63763
2019-10-01,126167,61411,64756,123731,60208,63523
2020-10-01,126146,61350,64797,123399,60003,63396
